#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
3098                 -         5S_rRNA              RF00001    cm        1      119        3      123      +    no    1 0.51   0.0   84.6   1.9e-17 !   [C28989; 123bp]
1453                 -         5S_rRNA              RF00001    cm       18      119        1      104      +    5'    2 0.53   0.0   53.9   1.6e-09 !   [C32285; 123bp]
996                  -         5S_rRNA              RF00001    cm       22      119      123       24      -    5'    2 0.52   0.0   53.6     2e-09 !   [C33367; 123bp]
2417                 -         5S_rRNA              RF00001    cm        1       93       95        1      -    3'    3 0.52   0.0   53.2   2.6e-09 !   [C31135; 123bp]
1515                 -         5S_rRNA              RF00001    cm       22      119      123       24      -    5'    2 0.52   0.0   52.4     4e-09 !   [C33365; 123bp]
2517                 -         5S_rRNA              RF00001    cm        1       90       92        1      -    3'    3 0.53   0.0   51.7     6e-09 !   [C30317; 123bp]
1818                 -         5S_rRNA              RF00001    cm        1       86       88        1      -    3'    3 0.53   0.0   49.4   2.3e-08 !   [C31619; 123bp]
1253                 -         5S_rRNA              RF00001    cm        1       86       36      123      +    3'    3 0.52   0.0   49.3   2.5e-08 !   [C27275; 123bp]
930                  -         5S_rRNA              RF00001    cm        1       69       54      123      +    3'    3 0.50   0.0   48.1   5.3e-08 !   [C29721; 123bp]
3315                 -         5S_rRNA              RF00001    cm        1       70       71        1      -    3'    3 0.51   0.0   46.9   1.1e-07 !   [C31295; 123bp]
2270                 -         5S_rRNA              RF00001    cm       25      119        1       97      +    5'    2 0.54   0.0   45.9   1.9e-07 !   [C29305; 123bp]
2794                 -         5S_rRNA              RF00001    cm        1       71       52      123      +    3'    3 0.53   0.0   45.7   2.1e-07 !   [C31603; 123bp]
2005                 -         5S_rRNA              RF00001    cm       26      119        1       96      +    5'    2 0.51   0.0   44.9   3.4e-07 !   [C31881; 123bp]
1145                 -         5S_rRNA              RF00001    cm        1       64       65        1      -    3'    3 0.52   0.0   44.0   5.9e-07 !   [C32135; 123bp]
2468                 -         5S_rRNA              RF00001    cm        1       78       80        1      -    3'    3 0.51   0.0   43.6   7.4e-07 !   [C31145; 123bp]
3797                 -         5S_rRNA              RF00001    cm        1       77       79        1      -    3'    3 0.51   0.0   43.5   7.8e-07 !   [C28935; 123bp]
6165                 -         5S_rRNA              RF00001    cm       28      119        1       94      +    5'    2 0.53   0.0   43.3   8.8e-07 !   [C20644; 106bp]
1716                 -         5S_rRNA              RF00001    cm        1       61       62        1      -    3'    3 0.50   0.0   42.8   1.2e-06 !   [C27941; 123bp]
2008                 -         5S_rRNA              RF00001    cm        1       62       63        1      -    3'    3 0.49   0.0   42.4   1.5e-06 !   [C27289; 123bp]
3665                 -         5S_rRNA              RF00001    cm        1       76       46      123      +    3'    3 0.54   0.0   41.4   2.8e-06 !   [C33331; 123bp]
2591                 -         5S_rRNA              RF00001    cm       31      119      123       33      -    5'    2 0.52   0.0   39.3   9.6e-06 !   [C31955; 123bp]
1681                 -         5S_rRNA              RF00001    cm        1       59       64      123      +    3'    3 0.52   0.0   39.2     1e-05 !   [C28003; 123bp]
5898                 -         5S_rRNA              RF00001    cm       31      119      109       19      -    5'    2 0.52   0.0   39.1   1.1e-05 !   [C21549; 109bp]
3449                 -         5_8S_rRNA            RF00002    cm        1      122        2      123      +    3'    3 0.44   0.0  131.3   5.8e-34 !   [C32431; 123bp]
1505                 -         5_8S_rRNA            RF00002    cm       32      154        1      123      +    5'    2 0.47   0.0  131.1   6.5e-34 !   [C30821; 123bp]
905                  -         5_8S_rRNA            RF00002    cm        1      123        1      123      +    3'    3 0.45   0.0  130.7   8.5e-34 !   [C27841; 123bp]
804                  -         5_8S_rRNA            RF00002    cm        1      123      123        1      -    3'    3 0.45   0.0  130.6   9.1e-34 !   [C29387; 123bp]
2973                 -         5_8S_rRNA            RF00002    cm       33      154      123        2      -    5'    2 0.48   0.0  129.1   2.5e-33 !   [C32441; 123bp]
1053                 -         5_8S_rRNA            RF00002    cm       20      142      123        1      - 5'&3'    4 0.50   0.0  127.7   6.3e-33 !   [C31877; 123bp]
3788                 -         5_8S_rRNA            RF00002    cm       22      144      123        1      - 5'&3'    4 0.48   0.0  126.7   1.2e-32 !   [C28203; 123bp]
3164                 -         5_8S_rRNA            RF00002    cm        1      117        7      123      +    3'    3 0.44   0.0  126.6   1.3e-32 !   [C30201; 123bp]
2300                 -         5_8S_rRNA            RF00002    cm       14      136        1      123      + 5'&3'    4 0.48   0.0  125.6   2.5e-32 !   [C31011; 123bp]
2768                 -         5_8S_rRNA            RF00002    cm        2      124        1      123      + 5'&3'    4 0.46   0.0  124.5     5e-32 !   [C28903; 123bp]
1417                 -         5_8S_rRNA            RF00002    cm       24      146        1      123      + 5'&3'    4 0.48   0.0  123.4     1e-31 !   [C27745; 123bp]
1956                 -         5_8S_rRNA            RF00002    cm       25      147      123        1      - 5'&3'    4 0.47   0.0  122.9   1.4e-31 !   [C33679; 123bp]
1813                 -         5_8S_rRNA            RF00002    cm        1      111       13      123      +    3'    3 0.41   0.0  122.8   1.6e-31 !   [C27511; 123bp]
777                  -         5_8S_rRNA            RF00002    cm        7      129      123        1      - 5'&3'    4 0.46   0.0  122.8   1.6e-31 !   [C28459; 123bp]
2050                 -         5_8S_rRNA            RF00002    cm        7      129      123        1      - 5'&3'    4 0.47   0.0  122.7   1.7e-31 !   [C28461; 123bp]
2991                 -         5_8S_rRNA            RF00002    cm       25      147      123        1      - 5'&3'    4 0.47   0.0  122.6   1.7e-31 !   [C33677; 123bp]
3765                 -         5_8S_rRNA            RF00002    cm       10      132        1      123      + 5'&3'    4 0.48   0.0  122.6   1.8e-31 !   [C32291; 123bp]
2297                 -         5_8S_rRNA            RF00002    cm        8      130        1      123      + 5'&3'    4 0.45   0.0  122.5   1.8e-31 !   [C33351; 123bp]
1832                 -         5_8S_rRNA            RF00002    cm       31      154        1      123      +    5'    2 0.50   0.0  122.4     2e-31 !   [C27619; 123bp]
1254                 -         5_8S_rRNA            RF00002    cm        1      112       12      123      +    3'    3 0.42   0.0  122.2   2.3e-31 !   [C31095; 123bp]
1695                 -         5_8S_rRNA            RF00002    cm       40      154        1      115      +    5'    2 0.50   0.0  120.2   8.6e-31 !   [C28791; 123bp]
1717                 -         5_8S_rRNA            RF00002    cm       29      151      123        1      - 5'&3'    4 0.49   0.0  119.1   1.8e-30 !   [C31057; 123bp]
3537                 -         5_8S_rRNA            RF00002    cm       41      154        1      114      +    5'    2 0.48   0.0  114.4   3.8e-29 !   [C33209; 123bp]
2888                 -         5_8S_rRNA            RF00002    cm        1      107      107        1      -    3'    3 0.42   0.0  114.0     5e-29 !   [C27855; 123bp]
3621                 -         5_8S_rRNA            RF00002    cm       42      154        1      113      +    5'    2 0.50   0.0  111.8     2e-28 !   [C27493; 123bp]
2398                 -         5_8S_rRNA            RF00002    cm       44      154      123       13      -    5'    2 0.49   0.0  111.1   3.3e-28 !   [C32025; 123bp]
1085                 -         5_8S_rRNA            RF00002    cm       43      154        1      112      +    5'    2 0.50   0.0  110.2     6e-28 !   [C29865; 123bp]
1321                 -         5_8S_rRNA            RF00002    cm       47      154      123       16      -    5'    2 0.49   0.0  105.7   1.1e-26 !   [C27159; 123bp]
2359                 -         5_8S_rRNA            RF00002    cm       49      154        1      106      +    5'    2 0.48   0.0  103.1   6.3e-26 !   [C28983; 123bp]
1318                 -         5_8S_rRNA            RF00002    cm       46      154      123       15      -    5'    2 0.48   0.0  102.1   1.2e-25 !   [C31079; 123bp]
2825                 -         5_8S_rRNA            RF00002    cm       51      154      123       20      -    5'    2 0.48   0.0  101.2   2.2e-25 !   [C28015; 123bp]
3733                 -         5_8S_rRNA            RF00002    cm       51      154      123       20      -    5'    2 0.48   0.0   99.2   8.3e-25 !   [C28017; 123bp]
984                  -         5_8S_rRNA            RF00002    cm       57      154      123       26      -    5'    2 0.47   0.0   93.9   2.6e-23 !   [C28477; 123bp]
3648                 -         5_8S_rRNA            RF00002    cm       54      154      123       23      -    5'    2 0.48   0.0   93.7   2.9e-23 !   [C33477; 123bp]
3333                 -         5_8S_rRNA            RF00002    cm       54      154      123       23      -    5'    2 0.48   0.0   92.7   5.8e-23 !   [C33475; 123bp]
2724                 -         5_8S_rRNA            RF00002    cm       58      154        1       97      +    5'    2 0.46   0.0   92.6     6e-23 !   [C27865; 123bp]
2364                 -         5_8S_rRNA            RF00002    cm       55      154      123       24      -    5'    2 0.48   0.0   92.6     6e-23 !   [C28063; 123bp]
1431                 -         5_8S_rRNA            RF00002    cm        1       86       38      123      +    3'    3 0.45   0.0   92.4   6.8e-23 !   [C28475; 123bp]
1729                 -         5_8S_rRNA            RF00002    cm       57      154      123       26      -    5'    2 0.47   0.0   91.2   1.5e-22 !   [C28479; 123bp]
3718                 -         5_8S_rRNA            RF00002    cm       58      154        1       97      +    5'    2 0.46   0.0   91.2   1.5e-22 !   [C27863; 123bp]
3735                 -         5_8S_rRNA            RF00002    cm       60      154      123       29      -    5'    2 0.49   0.0   88.7   7.9e-22 !   [C33601; 123bp]
1864                 -         5_8S_rRNA            RF00002    cm       63      154      123       32      -    5'    2 0.49   0.0   85.6     6e-21 !   [C27753; 123bp]
1625                 -         5_8S_rRNA            RF00002    cm       63      154      123       32      -    5'    2 0.49   0.0   85.3   7.2e-21 !   [C27755; 123bp]
1144                 -         5_8S_rRNA            RF00002    cm       64      154        1       91      +    5'    2 0.49   0.0   85.2   7.9e-21 !   [C30419; 123bp]
3571                 -         5_8S_rRNA            RF00002    cm       61      154        1       94      +    5'    2 0.48   0.0   84.7   1.1e-20 !   [C28569; 123bp]
6637                 -         5_8S_rRNA            RF00002    cm       66      154        1       89      +    5'    2 0.51   0.0   84.6   1.1e-20 !   [C19555; 100bp]
2483                 -         5_8S_rRNA            RF00002    cm       62      154      123       31      -    5'    2 0.47   0.0   84.2   1.5e-20 !   [C31399; 123bp]
1918                 -         5_8S_rRNA            RF00002    cm        1       84       84        1      -    3'    3 0.43   0.0   84.1   1.6e-20 !   [C27743; 123bp]
6643                 -         5_8S_rRNA            RF00002    cm       66      154        1       89      +    5'    2 0.52   0.0   79.3   3.6e-19 !   [C19597; 100bp]
1905                 -         5_8S_rRNA            RF00002    cm       68      154        1       87      +    5'    2 0.48   0.0   76.3   2.6e-18 !   [C28175; 123bp]
1577                 -         5_8S_rRNA            RF00002    cm        1       73       51      123      +    3'    3 0.44   0.0   75.3     5e-18 !   [C30203; 123bp]
3481                 -         5_8S_rRNA            RF00002    cm        1       75       49      123      +    3'    3 0.43   0.0   74.5   8.5e-18 !   [C32043; 123bp]
1572                 -         5_8S_rRNA            RF00002    cm       71      154        1       84      +    5'    2 0.49   0.0   73.4   1.8e-17 !   [C28099; 123bp]
3467                 -         5_8S_rRNA            RF00002    cm       72      154      123       41      -    5'    2 0.49   0.0   71.2   7.3e-17 !   [C30931; 123bp]
3076                 -         5_8S_rRNA            RF00002    cm        1       66       58      123      +    3'    3 0.45   0.0   68.6   4.2e-16 !   [C28551; 123bp]
2594                 -         5_8S_rRNA            RF00002    cm       73      154        1       82      +    5'    2 0.50   0.0   68.2   5.3e-16 !   [C31163; 123bp]
1269                 -         5_8S_rRNA            RF00002    cm       74      154        1       81      +    5'    2 0.51   0.0   67.2   1.1e-15 !   [C30875; 123bp]
3630                 -         5_8S_rRNA            RF00002    cm       74      154        1       81      +    5'    2 0.51   0.0   66.6   1.5e-15 !   [C30873; 123bp]
1986                 -         5_8S_rRNA            RF00002    cm        1       63       61      123      +    3'    3 0.46   0.0   64.6   5.5e-15 !   [C30677; 123bp]
3855                 -         5_8S_rRNA            RF00002    cm       83      154      123       52      -    5'    2 0.54   0.0   62.7     2e-14 !   [C30949; 123bp]
899                  -         5_8S_rRNA            RF00002    cm        1       58       58        1      -    3'    3 0.47   0.0   62.0   3.2e-14 !   [C27165; 123bp]
1302                 -         5_8S_rRNA            RF00002    cm        1       58       58        1      -    3'    3 0.47   0.0   62.0   3.2e-14 !   [C27167; 123bp]
1073                 -         5_8S_rRNA            RF00002    cm       86      154      123       55      -    5'    2 0.51   0.0   60.3   9.3e-14 !   [C32751; 123bp]
2998                 -         5_8S_rRNA            RF00002    cm       87      154      123       56      -    5'    2 0.51   0.0   56.3   1.3e-12 !   [C31613; 123bp]
1943                 -         5_8S_rRNA            RF00002    cm       94      154        1       61      +    5'    2 0.54   0.0   52.4   1.7e-11 !   [C32641; 123bp]
5                    -         U2                   RF00004    cm        1      193   121807   121918      +    no    1 0.33   0.1   98.7     6e-20 !   [scaffold5; 325883bp]
1                    -         tRNA                 RF00005    cm        1       71   443548   443620      +    no    1 0.48   0.0   69.7   9.5e-15 !   [scaffold183; 454539bp]
6                    -         tRNA                 RF00005    cm        1       71    79029    78957      -    no    1 0.48   0.0   69.7   9.5e-15 !   [scaffold15; 318926bp]
37                   -         tRNA                 RF00005    cm        1       71    17300    17372      +    no    1 0.48   0.0   69.7   9.5e-15 !   [scaffold59; 115284bp]
136                  -         tRNA                 RF00005    cm        1       71     2258     2186      -    no    1 0.48   0.0   69.7   9.5e-15 !   [scaffold64; 3312bp]
125                  -         tRNA                 RF00005    cm        1       71     4501     4430      -    no    1 0.58   0.0   69.1   1.4e-14 !   [scaffold203; 4945bp]
105                  -         tRNA                 RF00005    cm        1       71     3266     3336      +    no    1 0.31   0.0   68.8   1.6e-14 !   [scaffold33; 12726bp]
104                  -         tRNA                 RF00005    cm        1       71     8354     8283      -    no    1 0.36   0.0   68.4   2.2e-14 !   [scaffold83; 12741bp]
9                    -         tRNA                 RF00005    cm        1       71    30256    30185      -    no    1 0.57   0.0   68.0   2.9e-14 !   [scaffold169; 287930bp]
1                    -         tRNA                 RF00005    cm        1       71      516      588      +    no    1 0.49   0.0   67.6   3.6e-14 !   [scaffold183; 454539bp]
11                   -         tRNA                 RF00005    cm        1       71   227592   227664      +    no    1 0.49   0.0   67.6   3.6e-14 !   [scaffold137; 261062bp]
18                   -         tRNA                 RF00005    cm        1       71    84464    84392      -    no    1 0.49   0.0   67.6   3.6e-14 !   [scaffold213; 163626bp]
23                   -         tRNA                 RF00005    cm        1       71    10790    10718      -    no    1 0.49   0.0   67.6   3.6e-14 !   [scaffold185; 155067bp]
23                   -         tRNA                 RF00005    cm        1       71   154880   154808      -    no    1 0.49   0.0   67.6   3.6e-14 !   [scaffold185; 155067bp]
26                   -         tRNA                 RF00005    cm        1       71   136418   136490      +    no    1 0.49   0.0   67.6   3.6e-14 !   [scaffold235; 145301bp]
72                   -         tRNA                 RF00005    cm        1       71       77      149      +    no    1 0.49   0.0   67.6   3.6e-14 !   [scaffold71; 49342bp]
97                   -         tRNA                 RF00005    cm        1       71      162      233      +    no    1 0.56   0.0   67.4   4.3e-14 !   [C39683; 16847bp]
16                   -         tRNA                 RF00005    cm        1       71   120124   120195      +    no    1 0.47   0.0   67.2   4.8e-14 !   [scaffold24; 182967bp]
30                   -         tRNA                 RF00005    cm        1       71    45891    45820      -    no    1 0.47   0.0   67.2   4.8e-14 !   [scaffold73; 130328bp]
52                   -         tRNA                 RF00005    cm        1       71    43094    43165      +    no    1 0.47   0.0   67.2   4.8e-14 !   [scaffold154; 79610bp]
34                   -         tRNA                 RF00005    cm        1       71    59707    59779      +    no    1 0.53   0.0   66.7   6.4e-14 !   [scaffold201; 121681bp]
9                    -         tRNA                 RF00005    cm        1       71   189842   189914      +    no    1 0.55   0.0   66.1   9.6e-14 !   [scaffold169; 287930bp]
12                   -         tRNA                 RF00005    cm        1       71     4685     4613      -    no    1 0.55   0.0   66.1   9.6e-14 !   [scaffold74; 253412bp]
14                   -         tRNA                 RF00005    cm        1       71   106631   106559      -    no    1 0.55   0.0   66.1   9.6e-14 !   [scaffold200; 215531bp]
15                   -         tRNA                 RF00005    cm        1       71   116989   116917      -    no    1 0.55   0.0   66.1   9.6e-14 !   [scaffold151; 188840bp]
17                   -         tRNA                 RF00005    cm        1       71   113607   113535      -    no    1 0.55   0.0   66.1   9.6e-14 !   [scaffold104; 169973bp]
20                   -         tRNA                 RF00005    cm        1       71   159895   159823      -    no    1 0.55   0.0   66.1   9.6e-14 !   [scaffold19; 160231bp]
23                   -         tRNA                 RF00005    cm        1       71    37305    37377      +    no    1 0.55   0.0   66.1   9.6e-14 !   [scaffold185; 155067bp]
32                   -         tRNA                 RF00005    cm        1       71    65442    65370      -    no    1 0.55   0.0   66.1   9.6e-14 !   [scaffold95; 128315bp]
49                   -         tRNA                 RF00005    cm        1       71      180      252      +    no    1 0.55   0.0   66.1   9.6e-14 !   [scaffold222; 82806bp]
49                   -         tRNA                 RF00005    cm        1       71    63608    63536      -    no    1 0.55   0.0   66.1   9.6e-14 !   [scaffold222; 82806bp]
50                   -         tRNA                 RF00005    cm        1       71    74039    74111      +    no    1 0.55   0.0   66.1   9.6e-14 !   [scaffold209; 80536bp]
54                   -         tRNA                 RF00005    cm        1       71    35643    35571      -    no    1 0.55   0.0   66.1   9.6e-14 !   [scaffold234; 76036bp]
68                   -         tRNA                 RF00005    cm        1       71    21095    21023      -    no    1 0.55   0.0   66.1   9.6e-14 !   [scaffold184; 53073bp]
10                   -         tRNA                 RF00005    cm        1       71   147461   147532      +    no    1 0.54   0.0   66.0     1e-13 !   [scaffold85; 277317bp]
12                   -         tRNA                 RF00005    cm        1       71     4877     4948      +    no    1 0.54   0.0   66.0     1e-13 !   [scaffold74; 253412bp]
140                  -         tRNA                 RF00005    cm        1       71     2652     2723      +    no    1 0.33   0.0   65.8   1.2e-13 !   [scaffold246; 2923bp]
123                  -         tRNA                 RF00005    cm        1       71     5237     5309      +    no    1 0.33   0.0   65.4   1.5e-13 !   [scaffold202; 5738bp]
4                    -         tRNA                 RF00005    cm        1       71   337220   337147      -    no    1 0.54   0.0   65.3   1.7e-13 !   [scaffold204; 337758bp]
9                    -         tRNA                 RF00005    cm        1       71    60753    60826      +    no    1 0.54   0.0   65.3   1.7e-13 !   [scaffold169; 287930bp]
26                   -         tRNA                 RF00005    cm        1       71     7171     7098      -    no    1 0.54   0.0   65.3   1.7e-13 !   [scaffold235; 145301bp]
32                   -         tRNA                 RF00005    cm        1       71    40303    40376      +    no    1 0.54   0.0   65.3   1.7e-13 !   [scaffold95; 128315bp]
33                   -         tRNA                 RF00005    cm        1       71   114440   114367      -    no    1 0.54   0.0   65.3   1.7e-13 !   [scaffold157; 123644bp]
40                   -         tRNA                 RF00005    cm        1       71      519      592      +    no    1 0.54   0.0   65.3   1.7e-13 !   [scaffold61; 112182bp]
46                   -         tRNA                 RF00005    cm        1       71    92569    92496      -    no    1 0.54   0.0   65.3   1.7e-13 !   [scaffold47; 92834bp]
48                   -         tRNA                 RF00005    cm        1       71      665      738      +    no    1 0.54   0.0   65.3   1.7e-13 !   [scaffold172; 88871bp]
60                   -         tRNA                 RF00005    cm        1       71    18452    18525      +    no    1 0.54   0.0   65.3   1.7e-13 !   [scaffold86; 64542bp]
88                   -         tRNA                 RF00005    cm        1       71    21964    21891      -    no    1 0.54   0.0   65.3   1.7e-13 !   [scaffold96; 23413bp]
140                  -         tRNA                 RF00005    cm        1       71     2442     2514      +    no    1 0.30   0.0   65.2   1.7e-13 !   [scaffold246; 2923bp]
6                    -         tRNA                 RF00005    cm        1       71   112680   112599      -    no    1 0.52   0.0   64.6   2.5e-13 !   [scaffold15; 318926bp]
14                   -         tRNA                 RF00005    cm        1       71    61098    61179      +    no    1 0.52   0.0   64.6   2.5e-13 !   [scaffold200; 215531bp]
99                   -         tRNA                 RF00005    cm        1       71      174      255      +    no    1 0.52   0.0   64.6   2.5e-13 !   [scaffold221; 14767bp]
10                   -         tRNA                 RF00005    cm        1       71    31853    31934      +    no    1 0.51   0.0   64.6   2.5e-13 !   [scaffold85; 277317bp]
104                  -         tRNA                 RF00005    cm        1       71     1776     1704      -    no    1 0.34   0.0   64.4   2.9e-13 !   [scaffold83; 12741bp]
9                    -         tRNA                 RF00005    cm        1       71   149163   149092      -    no    1 0.53   0.0   64.1   3.5e-13 !   [scaffold169; 287930bp]
17                   -         tRNA                 RF00005    cm        1       71   151038   151109      +    no    1 0.53   0.0   64.1   3.5e-13 !   [scaffold104; 169973bp]
19                   -         tRNA                 RF00005    cm        1       71      323      394      +    no    1 0.53   0.0   64.1   3.5e-13 !   [scaffold114; 162560bp]
45                   -         tRNA                 RF00005    cm        1       71    94767    94696      -    no    1 0.53   0.0   64.1   3.5e-13 !   [scaffold3; 96007bp]
50                   -         tRNA                 RF00005    cm        1       71    24338    24267      -    no    1 0.53   0.0   64.1   3.5e-13 !   [scaffold209; 80536bp]
60                   -         tRNA                 RF00005    cm        1       71    23522    23593      +    no    1 0.53   0.0   64.1   3.5e-13 !   [scaffold86; 64542bp]
86                   -         tRNA                 RF00005    cm        1       71      259      330      +    no    1 0.53   0.0   64.1   3.5e-13 !   [scaffold100; 26131bp]
95                   -         tRNA                 RF00005    cm        1       71    17913    17832      -    no    1 0.55   0.0   63.2   6.3e-13 !   [scaffold35; 18070bp]
12                   -         tRNA                 RF00005    cm        1       71   154459   154378      -    no    1 0.57   0.0   63.0     7e-13 !   [scaffold74; 253412bp]
23                   -         tRNA                 RF00005    cm        1       71    88742    88661      -    no    1 0.57   0.0   63.0     7e-13 !   [scaffold185; 155067bp]
56                   -         tRNA                 RF00005    cm        1       71    16915    16834      -    no    1 0.57   0.0   63.0     7e-13 !   [scaffold179; 72474bp]
14                   -         tRNA                 RF00005    cm        1       71    11317    11246      -    no    1 0.57   0.0   63.0   7.1e-13 !   [scaffold200; 215531bp]
2                    -         tRNA                 RF00005    cm        1       71   206781   206709      -    no    1 0.60   0.0   62.9   7.7e-13 !   [scaffold126; 407826bp]
8                    -         tRNA                 RF00005    cm        1       71   120830   120902      +    no    1 0.60   0.0   62.9   7.7e-13 !   [scaffold53; 299672bp]
12                   -         tRNA                 RF00005    cm        1       71   176629   176557      -    no    1 0.60   0.0   62.9   7.7e-13 !   [scaffold74; 253412bp]
50                   -         tRNA                 RF00005    cm        1       71      145      217      +    no    1 0.60   0.0   62.9   7.7e-13 !   [scaffold209; 80536bp]
99                   -         tRNA                 RF00005    cm        1       71    14457    14385      -    no    1 0.60   0.0   62.9   7.7e-13 !   [scaffold221; 14767bp]
5                    -         tRNA                 RF00005    cm        1       71   161615   161686      +    no    1 0.54   0.0   62.7   8.5e-13 !   [scaffold5; 325883bp]
30                   -         tRNA                 RF00005    cm        1       71       75      146      +    no    1 0.53   0.0   62.5   9.8e-13 !   [scaffold73; 130328bp]
52                   -         tRNA                 RF00005    cm        1       71    74032    73961      -    no    1 0.53   0.0   62.5   9.8e-13 !   [scaffold154; 79610bp]
104                  -         tRNA                 RF00005    cm        1       71     3079     3008      -    no    1 0.32   0.0   62.1   1.2e-12 !   [scaffold83; 12741bp]
8                    -         tRNA                 RF00005    cm        1       71   264500   264429      -    no    1 0.65   0.0   62.1   1.3e-12 !   [scaffold53; 299672bp]
17                   -         tRNA                 RF00005    cm        1       71    22161    22232      +    no    1 0.65   0.0   62.1   1.3e-12 !   [scaffold104; 169973bp]
32                   -         tRNA                 RF00005    cm        1       71    63068    62997      -    no    1 0.65   0.0   62.1   1.3e-12 !   [scaffold95; 128315bp]
41                   -         tRNA                 RF00005    cm        1       71    78693    78764      +    no    1 0.65   0.0   62.1   1.3e-12 !   [scaffold21; 109517bp]
38                   -         tRNA                 RF00005    cm        1       71   114210   114127      -    no    1 0.51   0.0   61.4     2e-12 !   [scaffold131; 114385bp]
104                  -         tRNA                 RF00005    cm        1       71    10630    10560      -    no    1 0.21   2.6   61.2   2.3e-12 !   [scaffold83; 12741bp]
