ID	distID	totVar	len	aaSynTot	aaSynProp	aaNonSynTot	aaNonSynProp	banpSynTot	banpSynProp	banpNonSynTot	banpNonSynProp	blossSynTot	blossSynProp	blossNonSynTot	blossNonSynProp
Ribosomal_L19e	deep	163	429	69	0.423	94	0.577	99	0.607	64	0.393	101	0.620	62	0.380
Ribosomal_L1	deep	510	738	37	0.073	473	0.927	155	0.304	355	0.696	112	0.220	398	0.780
Ribosomal_L22	deep	317	405	26	0.082	291	0.918	37	0.117	280	0.883	32	0.101	285	0.899
Ribosomal_L23	deep	67	192	22	0.328	45	0.672	45	0.672	22	0.328	40	0.597	27	0.403
Ribosomal_L26	deep	129	342	53	0.411	76	0.589	94	0.729	35	0.271	87	0.674	42	0.326
Ribosomal_L27A	deep	215	393	33	0.153	182	0.847	90	0.419	125	0.581	65	0.302	150	0.698
Ribosomal_L29	deep	124	174	14	0.113	110	0.887	25	0.202	99	0.798	29	0.234	95	0.766
Ribosomal_L30	deep	57	153	24	0.421	33	0.579	44	0.772	13	0.228	44	0.772	13	0.228
Ribosomal_L3	deep	367	1098	182	0.496	185	0.504	241	0.657	126	0.343	238	0.649	129	0.351
Ribosomal_L4	deep	445	693	44	0.099	401	0.901	128	0.288	317	0.712	110	0.247	335	0.753
Ribosomal_L5_C	deep	188	303	37	0.197	151	0.803	81	0.431	107	0.569	72	0.383	116	0.617
Ribosomal_L5e	deep	168	486	80	0.476	88	0.524	109	0.649	59	0.351	117	0.696	51	0.304
Ribosomal_L6	deep	176	249	7	0.040	169	0.960	51	0.290	125	0.710	33	0.188	143	0.812
Ribosomal_L7Ae	deep	210	294	15	0.071	195	0.929	55	0.262	155	0.738	43	0.205	167	0.795
Ribosomal_S10	deep	181	294	19	0.105	162	0.895	63	0.348	118	0.652	54	0.298	127	0.702
Ribosomal_S11	deep	87	354	60	0.690	27	0.310	79	0.908	8	0.092	75	0.862	12	0.138
Ribosomal_S13	deep	130	387	64	0.492	66	0.508	99	0.762	31	0.238	90	0.692	40	0.308
Ribosomal_S14	deep	114	162	13	0.114	101	0.886	33	0.289	81	0.711	20	0.175	94	0.825
Ribosomal_S15	deep	138	246	28	0.203	110	0.797	48	0.348	90	0.652	49	0.355	89	0.645
Ribosomal_S17e	deep	150	366	61	0.407	89	0.593	87	0.580	63	0.420	84	0.560	66	0.440
Ribosomal_S17_N	deep	80	192	15	0.188	65	0.812	29	0.362	51	0.637	24	0.300	56	0.700
Ribosomal_S17	deep	57	204	33	0.579	24	0.421	49	0.860	8	0.140	44	0.772	13	0.228
Ribosomal_S19e	deep	213	414	49	0.230	164	0.770	98	0.460	115	0.540	84	0.394	129	0.606
Ribosomal_S19	deep	114	267	27	0.237	87	0.763	43	0.377	71	0.623	42	0.368	72	0.632
Ribosomal_S21e	deep	95	216	31	0.326	64	0.674	46	0.484	49	0.516	41	0.432	54	0.568
Ribosomal_S2	deep	293	600	61	0.208	232	0.792	133	0.454	160	0.546	115	0.392	178	0.608
Ribosomal_S4	deep	81	183	19	0.235	62	0.765	35	0.432	46	0.568	30	0.370	51	0.630
Ribosomal_S5	deep	52	195	26	0.500	26	0.500	40	0.769	12	0.231	34	0.654	18	0.346
Ribosomal_S6e	deep	129	378	57	0.442	72	0.558	83	0.643	46	0.357	76	0.589	53	0.411
Ribosomal_S7e	deep	297	549	60	0.202	237	0.798	107	0.360	190	0.640	87	0.293	210	0.707
Ribosomal_S8e	deep	183	549	81	0.443	102	0.557	113	0.617	70	0.383	121	0.661	62	0.339
Ribosomal_S8	deep	186	393	47	0.253	139	0.747	73	0.392	113	0.608	67	0.360	119	0.640
Ribosomal_S9	deep	169	360	34	0.201	135	0.799	73	0.432	96	0.568	66	0.391	103	0.609
Ribosom_S12_S23	deep	74	336	50	0.676	24	0.324	63	0.851	11	0.149	67	0.905	7	0.095
RNase_P_p30	deep	490	675	39	0.080	451	0.920	126	0.257	364	0.743	93	0.190	397	0.810
RNase_P_pop3	deep	451	555	27	0.060	424	0.940	84	0.186	367	0.814	60	0.133	391	0.867
RNase_P_Rpp14	deep	226	378	35	0.155	191	0.845	89	0.394	137	0.606	75	0.332	151	0.668
Rpp20	deep	278	333	7	0.025	271	0.975	36	0.129	242	0.871	24	0.086	254	0.914
Rpr2	deep	201	279	19	0.095	182	0.905	40	0.199	161	0.801	37	0.184	164	0.816
RRM_1	deep	125	213	17	0.136	108	0.864	53	0.424	72	0.576	41	0.328	84	0.672
RRM_5	deep	192	324	36	0.188	156	0.812	65	0.339	127	0.661	62	0.323	130	0.677
S10_plectin	deep	103	240	15	0.146	88	0.854	32	0.311	71	0.689	34	0.330	69	0.670
S4	deep	90	144	7	0.078	83	0.922	28	0.311	62	0.689	22	0.244	68	0.756
SART-1	deep	1470	2043	79	0.054	1391	0.946	291	0.198	1179	0.802	218	0.148	1252	0.852
SF3A2	deep	292	378	17	0.058	275	0.942	43	0.147	249	0.853	47	0.161	245	0.839
SF3A3	deep	152	255	16	0.105	136	0.895	54	0.355	98	0.645	53	0.349	99	0.651
SF3b10	deep	182	237	12	0.066	170	0.934	24	0.132	158	0.868	27	0.148	155	0.852
SHQ1	shallow	136	591	65	0.478	71	0.522	88	0.647	48	0.353	97	0.713	39	0.287
SRP14	shallow	61	342	33	0.541	28	0.459	45	0.738	16	0.262	45	0.738	16	0.262
SRP19	shallow	54	297	28	0.519	26	0.481	36	0.667	18	0.333	36	0.667	18	0.333
SRP54_N	shallow	31	249	26	0.839	5	0.161	28	0.903	3	0.097	28	0.903	3	0.097
SRP54	shallow	87	585	82	0.943	5	0.057	87	1.000	0	0.000	86	0.989	1	0.011
SRP68	shallow	334	1614	181	0.542	153	0.458	229	0.686	105	0.314	224	0.671	110	0.329
SRP72	shallow	40	183	23	0.575	17	0.425	36	0.900	4	0.100	36	0.900	4	0.100
SRP9-21	shallow	43	228	28	0.651	15	0.349	30	0.698	13	0.302	31	0.721	12	0.279
SRP_SPB	shallow	36	306	32	0.889	4	0.111	35	0.972	1	0.028	36	1.000	0	0.000
Surp	deep	96	156	8	0.083	88	0.917	33	0.344	63	0.656	31	0.323	65	0.677
Telomerase_RBD	shallow	89	387	34	0.382	55	0.618	59	0.663	30	0.337	56	0.629	33	0.371
TPP1	shallow	50	165	12	0.240	38	0.760	22	0.440	28	0.560	23	0.460	27	0.540
tRNA_anti-codon	deep	166	291	33	0.199	133	0.801	68	0.410	98	0.590	53	0.319	113	0.681
tRNA-synt_1b	deep	684	984	30	0.044	654	0.956	181	0.265	503	0.735	106	0.155	578	0.845
tRNA-synt_1c	deep	650	981	36	0.055	614	0.945	191	0.294	459	0.706	94	0.145	556	0.855
tRNA-synt_1e	deep	563	1290	161	0.286	402	0.714	283	0.503	280	0.497	241	0.428	322	0.572
tRNA-synt_1g	deep	383	1182	173	0.452	210	0.548	249	0.650	134	0.350	253	0.661	130	0.339
tRNA-synt_2b	deep	637	813	21	0.033	616	0.967	109	0.171	528	0.829	57	0.089	580	0.911
tRNA-synt_2d	deep	342	828	131	0.383	211	0.617	209	0.611	133	0.389	183	0.535	159	0.465
tRNA-synt_2	deep	868	1449	118	0.136	750	0.864	310	0.357	558	0.643	218	0.251	650	0.749
tRNA-synt_His	deep	627	1095	113	0.180	514	0.820	180	0.287	447	0.713	180	0.287	447	0.713
TruB_N	shallow	56	393	44	0.786	12	0.214	48	0.857	8	0.143	46	0.821	10	0.179
UPF0086	deep	201	273	9	0.045	192	0.955	30	0.149	171	0.851	30	0.149	171	0.851
WD40	deep	74	111	4	0.054	70	0.946	25	0.338	49	0.662	18	0.243	56	0.757
WW	shallow	13	87	13	1.000	0	0.000	13	1.000	0	0.000	13	1.000	0	0.000
Ydc2-catalyt	shallow	353	780	59	0.167	294	0.833	73	0.207	280	0.793	76	0.215	277	0.785
zf-C2H2_jaz	deep	49	78	6	0.122	43	0.878	24	0.490	25	0.510	16	0.327	33	0.673
zf-met	deep	50	75	6	0.120	44	0.880	24	0.480	26	0.520	16	0.320	34	0.680
zf-U1	shallow	13	114	13	1.000	0	0.000	13	1.000	0	0.000	13	1.000	0	0.000
